mean_price,kindofbuyer
124.99,not_rebuyer
289.0,not_rebuyer
139.94,not_rebuyer
149.94,not_rebuyer
230.0,not_rebuyer
14.99,not_rebuyer
19.9,not_rebuyer
99.9,not_rebuyer
25.3,not_rebuyer
129.9,not_rebuyer
99.0,not_rebuyer
84.0,not_rebuyer
129.0,not_rebuyer
119.9,not_rebuyer
7.09,not_rebuyer
89.9,not_rebuyer
28.99,not_rebuyer
105.0,not_rebuyer
59.9,not_rebuyer
59.9,not_rebuyer
59.9,not_rebuyer
148.0,not_rebuyer
79.9,not_rebuyer
69.9,not_rebuyer
49.0,not_rebuyer
42.9,not_rebuyer
29.99,not_rebuyer
53.99,not_rebuyer
45.9,not_rebuyer
59.9,not_rebuyer
49.0,not_rebuyer
30.5,not_rebuyer
45.0,not_rebuyer
89.9,not_rebuyer
44.9,not_rebuyer
199.98,not_rebuyer
34.99,not_rebuyer
78.0,not_rebuyer
79.0,not_rebuyer
16.48,not_rebuyer
199.9,not_rebuyer
11.99,not_rebuyer
11.99,not_rebuyer
153.0,not_rebuyer
223.9,not_rebuyer
440.0,not_rebuyer
196.8,not_rebuyer
149.9,not_rebuyer
54.0,not_rebuyer
788.42,not_rebuyer
19.9,not_rebuyer
144.9,not_rebuyer
99.97,not_rebuyer
99.97,not_rebuyer
12.09,not_rebuyer
12.09,not_rebuyer
12.09,not_rebuyer
12.09,not_rebuyer
12.09,not_rebuyer
61.99,not_rebuyer
250.0,not_rebuyer
10.99,not_rebuyer
118.0,not_rebuyer
129.6,not_rebuyer
169.9,not_rebuyer
19.9,not_rebuyer
135.0,not_rebuyer
39.0,not_rebuyer
226.0,not_rebuyer
159.9,not_rebuyer
47.65,not_rebuyer
170.315,not_rebuyer
170.315,not_rebuyer
219.0,not_rebuyer
14.9,not_rebuyer
14.99,not_rebuyer
14.99,not_rebuyer
350.0,not_rebuyer
20.9,not_rebuyer
42.99,not_rebuyer
120.0,not_rebuyer
44.9,not_rebuyer
18.99,not_rebuyer
330.0,not_rebuyer
35.0,not_rebuyer
20.3,not_rebuyer
46.99,not_rebuyer
24.99,not_rebuyer
299.99,not_rebuyer
189.0,not_rebuyer
113.85,not_rebuyer
214.0,not_rebuyer
53.99,not_rebuyer
122.99,not_rebuyer
139.0,not_rebuyer
199.99,not_rebuyer
12.99,not_rebuyer
45.9,not_rebuyer
66.99,not_rebuyer
109.99,not_rebuyer
37.8,not_rebuyer
138.0,not_rebuyer
94.9,not_rebuyer
329.0,not_rebuyer
53.9,not_rebuyer
17.99,not_rebuyer
17.99,not_rebuyer
39.9,not_rebuyer
239.9,not_rebuyer
117.3,not_rebuyer
239.0,not_rebuyer
29.0,not_rebuyer
52.11,not_rebuyer
125.0,not_rebuyer
145.99,not_rebuyer
9.99,not_rebuyer
184.9,not_rebuyer
13.99,not_rebuyer
80.52,not_rebuyer
80.52,not_rebuyer
34.9,not_rebuyer
31.86,not_rebuyer
53.0,not_rebuyer
80.0,not_rebuyer
149.9,not_rebuyer
107.9,not_rebuyer
32.64,not_rebuyer
168.0,not_rebuyer
241.1,not_rebuyer
45.96,not_rebuyer
18.49,not_rebuyer
149.99,not_rebuyer
107.0,not_rebuyer
89.99,not_rebuyer
78.0,not_rebuyer
226.77,not_rebuyer
49.9,not_rebuyer
79.9,not_rebuyer
635.9,not_rebuyer
18.9,not_rebuyer
20.3,not_rebuyer
27.72,not_rebuyer
204.0,not_rebuyer
39.99,not_rebuyer
6.0,not_rebuyer
24.99,not_rebuyer
53.99,not_rebuyer
53.99,not_rebuyer
89.9,not_rebuyer
699.0,not_rebuyer
185.99,not_rebuyer
45.9,not_rebuyer
109.9,not_rebuyer
89.0,not_rebuyer
118.0,not_rebuyer
29.9,not_rebuyer
34.2,not_rebuyer
157.0,not_rebuyer
47.0,not_rebuyer
47.0,not_rebuyer
24.9,not_rebuyer
388.9,not_rebuyer
839.99,not_rebuyer
18.0,not_rebuyer
38.99,not_rebuyer
49.9,not_rebuyer
49.9,not_rebuyer
49.9,not_rebuyer
166.99,not_rebuyer
79.99,not_rebuyer
670.0,not_rebuyer
759.99,not_rebuyer
117.7,not_rebuyer
149.9,not_rebuyer
79.9,not_rebuyer
99.9,not_rebuyer
12.99,not_rebuyer
44.99,not_rebuyer
209.9,not_rebuyer
1199.0,not_rebuyer
1899.0,not_rebuyer
23.99,not_rebuyer
195.5,not_rebuyer
195.5,not_rebuyer
195.5,not_rebuyer
195.5,not_rebuyer
195.5,not_rebuyer
154.9,not_rebuyer
69.99,not_rebuyer
139.0,not_rebuyer
49.97,not_rebuyer
89.99,not_rebuyer
87.0,not_rebuyer
948.9,not_rebuyer
24.99,not_rebuyer
59.0,not_rebuyer
45.0,not_rebuyer
199.0,not_rebuyer
22.9,not_rebuyer
109.9,not_rebuyer
290.0,not_rebuyer
326.16,not_rebuyer
39.99,not_rebuyer
199.6,not_rebuyer
129.0,not_rebuyer
19.0,not_rebuyer
24.9,not_rebuyer
144.99,not_rebuyer
89.9,not_rebuyer
169.99,not_rebuyer
134.0,not_rebuyer
199.0,not_rebuyer
14.96,not_rebuyer
109.0,not_rebuyer
150.0,not_rebuyer
179.0,not_rebuyer
31.49,not_rebuyer
31.49,not_rebuyer
31.49,not_rebuyer
74.9,not_rebuyer
149.9,not_rebuyer
59.99,not_rebuyer
219.9,not_rebuyer
129.9,not_rebuyer
59.9,not_rebuyer
59.9,not_rebuyer
58.0,not_rebuyer
34.2,not_rebuyer
135.0,not_rebuyer
49.0,not_rebuyer
49.0,not_rebuyer
49.0,not_rebuyer
49.0,not_rebuyer
49.99,not_rebuyer
19.9,not_rebuyer
44.9,not_rebuyer
116.0,not_rebuyer
119.9,not_rebuyer
89.9,not_rebuyer
27.0,not_rebuyer
135.0,not_rebuyer
53.9,not_rebuyer
19.9,not_rebuyer
18.49,not_rebuyer
18.49,not_rebuyer
39.0,not_rebuyer
47.0,not_rebuyer
49.9,not_rebuyer
105.0,not_rebuyer
388.5,not_rebuyer
184.9,not_rebuyer
184.9,not_rebuyer
29.5,not_rebuyer
214.9,not_rebuyer
38.9,not_rebuyer
69.9,not_rebuyer
110.0,not_rebuyer
199.9,not_rebuyer
107.99,not_rebuyer
159.99,not_rebuyer
399.9,not_rebuyer
45.9,not_rebuyer
29.9,not_rebuyer
99.0,not_rebuyer
48.9,not_rebuyer
69.0,not_rebuyer
59.9,not_rebuyer
14.63,not_rebuyer
15.0,not_rebuyer
22.99,not_rebuyer
25.9,not_rebuyer
25.9,not_rebuyer
259.0,not_rebuyer
42.0,not_rebuyer
43.0,not_rebuyer
49.9,not_rebuyer
38.9,not_rebuyer
49.9,not_rebuyer
185.9,not_rebuyer
79.0,not_rebuyer
149.0,not_rebuyer
53.9,not_rebuyer
13.9,not_rebuyer
13.9,not_rebuyer
35.99,not_rebuyer
59.0,not_rebuyer
53.0,not_rebuyer
30.0,not_rebuyer
78.0,not_rebuyer
69.9,not_rebuyer
9.99,not_rebuyer
489.0,not_rebuyer
199.9,not_rebuyer
137.99,not_rebuyer
26.99,not_rebuyer
84.35,not_rebuyer
69.0,not_rebuyer
259.9,not_rebuyer
395.65,not_rebuyer
299.9,not_rebuyer
28.9,not_rebuyer
28.9,not_rebuyer
134.9,not_rebuyer
149.9,not_rebuyer
48.89,not_rebuyer
135.9,not_rebuyer
99.0,not_rebuyer
99.0,not_rebuyer
149.0,not_rebuyer
78.5,not_rebuyer
27.99,not_rebuyer
39.28,not_rebuyer
49.9,not_rebuyer
99.0,not_rebuyer
149.9,not_rebuyer
49.0,not_rebuyer
39.0,not_rebuyer
39.9,not_rebuyer
55.9,not_rebuyer
48.0,not_rebuyer
170.0,not_rebuyer
