index,customer_city,customer_state,geo_lat,geo_lng,avg_delivery_time,total_payment_value,avg_payment_value,max_payment_value,cnt_payment_value,avg_delivery_time_formatted,delivery_time_days
3524,Sao paulo,SP,-23.5719157298392,-46.63361972959,8 days 01:37:46.786744665,2107798.43,140.12,4513.32,15043,8 days,8
3091,Rio de janeiro,RJ,-22.922776366676352,-43.32293851258482,14 days 18:11:09.280715043,1111872.32,168.44,13664.08,6601,14 days,14
446,Belo horizonte,MG,-19.909155110700482,-43.95665568832626,11 days 02:30:12.150166852,406050.87,150.56,3351.35,2697,11 days,11
547,Brasilia,DF,-15.811329832373081,-47.97098820025494,12 days 22:42:16.239517819,318000.1,166.67,4194.76,1908,12 days,12
1125,Curitiba,PR,-25.453306506787634,-49.27404793634108,10 days 10:57:54.874412357,238582.26,160.23,3126.5,1489,10 days,10
694,Campinas,SP,-22.90234842617691,-47.07524546801171,9 days 19:50:47.407539118,209028.97,148.67,2032.0,1406,9 days,9
2901,Porto alegre,RS,-30.049840433275275,-51.187063194760334,15 days 23:31:05.023862789,214667.83,160.08,1961.0,1341,15 days,15
3183,Salvador,BA,-12.959244564402104,-38.45769879533334,19 days 08:14:52.026160337,207163.8,174.82,3122.72,1185,19 days,19
1504,Guarulhos,SP,-23.444770882256392,-46.49789436979558,8 days 00:03:32.786526684,157629.92,137.91,2065.77,1143,8 days,8
3361,Sao bernardo do campo,SP,-23.70691486329551,-46.564475532600504,8 days 02:14:16.306256860,116785.21,128.19,2039.31,911,8 days,8
2413,Niteroi,RJ,-22.895781091711477,-43.08417979882755,14 days 14:35:53.189090909,135458.19,164.19,4445.5,825,14 days,14
3310,Santo andre,SP,-23.64023532653488,-46.50914277610082,7 days 21:14:25.858611825,101863.52,130.93,1995.69,778,7 days,7
2543,Osasco,SP,-23.536536727425123,-46.788358018286324,7 days 16:46:09.397790055,92461.02,127.71,1231.29,724,7 days,7
3348,Santos,SP,-23.963503403080825,-46.32744428002914,9 days 04:59:42.571428571,111170.11,158.81,2225.69,700,9 days,9
3482,Sao jose dos campos,SP,-23.211792771461052,-45.88452778274599,8 days 13:07:27.172413793,86492.5,129.67,2026.54,667,8 days,8
1420,Goiania,GO,-16.685127531610128,-49.27414831249317,15 days 13:11:59.633333333,113351.2,171.74,2267.28,660,15 days,15
1350,Fortaleza,CE,-3.764137278013981,-38.5345631866882,20 days 15:06:52.580906148,112951.56,182.77,1925.77,618,20 days,20
